# weight      mu1      mu2       k1       k2       k3 lognormc    env_K  env1_mu  env2_mu   env1_k   env2_k   env1_w   env2_w 
  0.0089  -1.4793   1.2925  59.1112  12.5706   1.4416  68.8608  -0.0021   0.0000  -0.0000  11.1075  11.1075   0.5000   0.5000 
  0.1306  -1.0933  -0.7343 392.0321 310.4931 122.3227 576.7950   0.0016   0.0000  -0.0000 133.4432 133.4432   0.5000   0.5000 
  0.0210  -1.8969   2.5849  40.3007  29.7811   3.6540  64.8477  -0.0033   0.0000  -0.0000  25.8257  25.8257   0.5000   0.5000 
  0.0135   1.2898   0.3302  70.2749  49.9771  26.4274  92.6223   0.0589   0.0000  -0.0000  10.0252  10.0252   0.5000   0.5000 
  0.0012   1.3114   1.9595   0.9351   4.5001  -0.7742   7.1334   0.0004   0.0000  -0.0000   4.7761   4.7761   0.5000   0.5000 
  0.0152  -1.1632   2.3411  24.5792  33.6777   5.3108  51.6656  -0.0059   0.0000  -0.0000  27.1214  27.1214   0.5000   0.5000 
  0.0145  -1.7442   0.1278  61.5967  60.0216  17.6393 102.1419  -0.0003   0.0000  -0.0000  35.7677  35.7677   0.5000   0.5000 
  0.0140  -2.7318   2.8397  52.8449  54.6613   7.4815  98.0456  -0.0026   0.0000  -0.0000  46.0591  46.0591   0.5000   0.5000 
  0.0391  -2.0189   2.2420  37.5288  49.0794   1.4824  83.2465  -0.0035   0.0000  -0.0000  47.5581  47.5581   0.5000   0.5000 
  0.0018   0.9891  -2.2559 118.9105  61.4887  10.2889 167.6489  -0.0010   0.0000  -0.0000  50.2883  50.2883   0.5000   0.5000 
  0.0244  -1.2942  -0.2693  66.3745  81.3625  10.8622 134.5948  -0.0021   0.0000  -0.0000  68.5132  68.5132   0.5000   0.5000 
  0.0202  -1.3481   2.6536  25.4948  44.6410   2.5788  65.9706  -0.0055   0.0000  -0.0000  41.8387  41.8387   0.5000   0.5000 
  0.0118  -2.4003   2.1115  13.5648   7.3561  -4.6899  24.8264   0.0015   0.0000  -0.0000  10.7747  10.7747   0.5000   0.5000 
  0.0245  -2.3506   2.7424  41.3987  48.5439   0.2158  87.7724  -0.0031   0.0000  -0.0000  48.3296  48.3296   0.5000   0.5000 
  0.0071  -1.7724  -0.9567   2.8823   5.5963   0.8887   8.4242   0.0031   0.0000  -0.0000   4.7337   4.7337   0.5000   0.5000 
  0.0059   1.4065   0.0198 178.3234 170.4160  85.5593 261.3892   0.1393   0.0000  -0.0000  15.4286  15.4286   0.5000   0.5000 
  0.0167  -1.4914   2.0128  28.6372  20.9077  -6.5769  54.5544  -0.0033   0.0000  -0.0000  26.1953  26.1953   0.5000   0.5000 
  0.0154  -1.5691  -0.3904  66.3775  49.7785  19.9408  94.5942   0.0052   0.0000  -0.0000  21.9678  21.9678   0.5000   0.5000 
  0.0117   0.9721   0.7102 163.7319  93.4395  45.5604 209.3455   0.0068   0.0000  -0.0000  31.1140  31.1140   0.5000   0.5000 
  0.0069   2.5866  -2.9507   4.4926   6.2577   1.8936   9.6242   0.0218   0.0000  -0.0000   3.9690   3.9690   0.5000   0.5000 
  0.0079  -1.7367   1.9374   7.1566  14.9221   2.2834  19.6374   0.0027   0.0000  -0.0000  12.0103  12.0103   0.5000   0.5000 
  0.0119  -2.0156   0.3451  17.0390  19.3480   2.2900  33.1948  -0.0083   0.0000  -0.0000  16.8053  16.8053   0.5000   0.5000 
  0.0189  -1.4266   2.8822  28.7219  18.7743   5.5721  40.9595  -0.0023   0.0000  -0.0000  12.0941  12.0941   0.5000   0.5000 
  0.0475  -1.0352  -0.7812  48.6386  62.8086   8.5283 100.9349  -0.0029   0.0000  -0.0000  52.6196  52.6196   0.5000   0.5000 
  0.0221  -1.1577   2.6839 143.5208  97.3161  48.8277 189.9642   0.0179   0.0000  -0.0000  24.8715  24.8715   0.5000   0.5000 
  0.0236  -2.3100   2.3404  71.4305  51.7989  14.9551 106.3502  -0.0008   0.0000  -0.0000  33.1454  33.1454   0.5000   0.5000 
  0.0571  -1.0809  -0.4977 246.4654 126.5239  68.3392 302.1486   0.0096   0.0000  -0.0000  32.9848  32.9848   0.5000   0.5000 
  0.0057  -1.8359  -0.8206  10.9159  13.2109  -1.3238  24.7239   0.0001   0.0000  -0.0000  14.3458  14.3458   0.5000   0.5000 
  0.0084  -2.2173   3.0276  15.5945  31.2403   5.9900  40.0187  -0.0096   0.0000  -0.0000  22.2175  22.2175   0.5000   0.5000 
